caso,FILTRO_A,FILTRO_B,FILTRO_C,FILTRO_C2,NSE,NSE2,P1,P2,LIMAS,P3,P4,P5_1,P5_2,P5_3,P5_4,P5_5,P6_1,P6_2,P6_3,P6_4,P6_5,P7_1_1,P7_1_2,P7_1_3,P7_2_1,P7_2_2,P7_2_3,P7_2_4,P7_3_1,P7_3_2,P7_3_3,P7_3_4,P7_4_1,P7_4_2,P7_4_3,P7_5_1,P7_5_2,P7_5_3,P7_5_4,P7_6_1,P7_6_2,P7_6_3,P7_6_4,P8_1,P8_2,P8_3,P8_4,P8_5,P8_6,P9,P10,P11,P12_1_1,P12_1_2,P12_2_1,P12_2_2,P12_3_1,P12_3_2,P12_3_3,P12_3_4,P12_3_5,P13_1,P13_2,P13_3,P13_4,P14_1,P14_2,P14_3,P14_4,P15_1,P15_2,P15_3,P15_4,P15_5,P16_1,P16_2,P16_3,P16_4,P16_5,P16_6,P16_7,P16_8,P16_9,P16_10,P17_1,P17_2,P17_3,P17_4,P17_5,P17_6,P18,NPS_Alkofarma,NPS_Jemfarma,NPS_Erza,NPS_Casa_Grande,NPS_Coderal,NPS_CKF,NPS_Boreal,NPS_Portugal,NPS_Sanakol,NPS_Purol,NPS_Don_Emilio,NPS_Hersil,NPS_Alessi,NPS_NR,P20,P21,P22_1,P23_1,P23_2,P23_3,P24_1_1,P24_1_2,P24_1_3,P24_1_4,P24_2_1,P24_2_2,P24_2_3,P24_2_4,P24_3_1,P24_3_2,P24_3_3,P24_3_4,P24_4_1,P24_4_2,P24_4_3,P24_4_4,P24_5_1,P24_5_2,P24_5_3,P24_5_4,P24_5_5,P24_6_1,P24_6_2,P24_6_3,P24_6_4,P24_7_1,P24_7_2,P24_7_3,P24_7_4,P24_7_5,P24_7_6,P24_8_1,P24_8_2,P24_8_3,P24_8_4,P24_9_1,P24_9_2,P24_9_3,P24_9_4,P24_10_1,P24_10_2,P24_10_3,P24_10_4,P24_11_1,P24_11_2,P24_11_3,P24_11_4,P24_11_5,P24_11_6,P24_12_1,P24_12_2,P24_12_3,P24_12_4,P25,P26_1,P26_2,P26_3,P26_4,P26_5,P27_1,P27_2,P27_3,P27_4,P27_5,P27_6,P27_7,P27_8,P28_1,P28_2,P28_3,P28_4,P28_5,P28_6,P29_1,P29_2,P29_3,P29_4,P29_5,P29_6,P29_7,P29_8,P30_1,P30_2,P30_3,P30_4,P30_5,P30_6,P30_7,P30_8,P31_1,P31_2,P31_3,P31_4,P31_5,P31_6,P32_1_1,P32_2_1,P32_3_1,P32_3_2,P32_4_1,P32_5_1,P32_6_1,P32_6_2,P32_7_1,P32_7_2,P32_7_3,P32_8_1,P32_NR,P33_1,P33_2,P33_3,P33_4,P33_5,P33_6,P33_7,P33_8,P33_NR,P34_1,P34_2,P34_3,P34_4,P34_5,P34_6,P34_7,P34_8,P34_NR,p159v1,vpond,VPOND1,VPOND2
89,2,1,32,3,7,D,2,1,1,3,1,2,3,5, , ,2,5, , , , , , ,1, , , ,1,2, , , , , ,2, , , , , , , ,2,5, , , , ,5,5,4, , , , ,3,9, , , ,3,5,10,9,1,2,6,12,4,31, , , ,1,4,7,8,31, , , , , ,1,4,8, , , ,4,10, , ,11, , , ,9, , , , , , ,1,4,16, , , ,1, , , ,1, , , ,1,6, , ,1, , , ,1,6, , , ,1,6, , ,1,6, , , , ,5,6, , ,1,6, , ,1,6, , ,1,6, , , , ,5,6, , ,1,3,2, , , ,5,7, , , , , , ,5,7, , , , , , , , ,5, ,6, , , , , ,3, ,4, ,5,7, , , , , , , , , ,25, , ,60, , , , , , , , ,900, ,1000, , , , , , ,2, ,1, , ,101,1,.77289029,.93333333
90,2,1,40,4,7,D,1,6,3,7,1,3, , , , ,3, , , , , , , , , , , ,1, , , , , , , , , , , , , , ,2, , , , , ,2,2,5, , , , ,2,17, , , ,5,1,6,8,9,13,10,11,1, , , , ,1, , , , , , , , , ,1, , , , , ,1,11, , , , , , , , , , , , , ,16,1,16, , , ,1, , , ,1, , , ,1, , , ,1, , , ,1, , , , ,1, , , ,9, , , , , ,1, , , ,1, , , ,1, , , ,1, , , , , ,9, , , ,1,1, , , , ,2,3,5, , , , , ,5, , , , , , ,7,7, ,5, , , , ,6,6, ,4, , , ,2,3,5, , , , ,66,10, , ,2, , , , , , , , ,120,120, ,120, , , , , ,1,1, ,1, , , , ,102,1,.84059992,.86363636
91,2,1,62,6,4,B2,2,36,1,1,1,1,2,3,4, ,1,2, , , ,1, , ,1, , , ,1, , , ,1, , , , , , , , , , ,1,5, , , , ,1,1,5, , , , ,12, , , , ,7,11,9,12,13,2,1,3,29,17, , , ,1,2,7,17,29, , , , , ,7,29, , , , ,29, , , , , , ,10, , , , , , , ,1,29,11,7, , ,1,5,6, ,1, , , ,6, , , ,1,5, , ,6, , , , ,1,5, , ,6, , , , , ,1, , , ,1, , , ,8, , , ,1,5,6, , , ,1, , , ,1,1, , , , ,1,3,4,5,7, , , ,4,5,7, , , ,5, ,7,6,6, ,7, ,6, ,6,5,6, ,7, ,1,3,4,5,7, ,80, ,2, ,28,19, , ,52, , , , ,100, ,120,1000,1000, ,380, , ,2, ,1,1,1, ,2, , ,103,1,.84784707,1.05555556
92,2,1,47,5,4,B2,2,1,1,2,1,3, , , , ,2, , , , , , , ,1,2, , ,7, , , , , , , , , , , , , , ,1,8, , , , ,1,1,4, , , , ,2,3, , , ,5,7,11,12,10,2,8,1,1, , , , ,1,7,8,10,12, , , , , ,1,8,12, , , ,1,11, , , , , , ,7, , , ,4, , ,10,1,16, , , ,6, , , ,1, , , ,1, , , ,1, , , ,1, , , , ,1, , , ,6, , , , , ,1, , , ,1, , , ,1, , , ,1, , , , , ,9, , , ,1,1,11, , , ,1,3,5, , , , , ,5, , , , , ,6, ,8, ,8, , , ,6, ,8, ,5, , , ,1,3,5, , , ,13, ,2, , ,2, , , , , , , ,100, ,1000, ,1000, , , , ,1, ,1, ,3, , , , ,104,1,.84784707,1.05555556
93,2,1,28,4,3,B1,1,14,1,2,1,1,2,3,5, ,1,2, , , ,1, , ,1,2, , ,7, , , , , , ,2, , , , , , , ,2,8, , , , ,7,2,4, , , , ,2,5, , , ,7,5,10,1,9,4,11,2,4, , , , ,1,4,8, , , , , , , ,4, , , , , ,4, , , ,10, , , , , , , , , , ,71,4,16, , , ,6, , , ,6, , , ,1,6, , ,6, , , ,9, , , , ,8, , , ,6, , , , , ,9, , , ,5,6, , ,9, , , ,8, , , , , ,6, , , ,1,1,9,7, , ,4,5,7, , , , , ,5,7, , , , , , , ,10,8, ,8, , , , ,9,5, ,5, ,5,7, , , , , , , , , ,39, , ,60, , , , , , , , ,1000, ,3750, , , , , , ,1, ,1, , ,105,1,.84784707,1.05555556
94,2,1,47,5,7,D,1,32,2,2,1,1,3, , , ,1,3, , , ,1,2, , , , , ,1,3, , , , , , , , , , , , , ,1,2, , , , ,1,1,4, , , , ,2,9,11, , ,11,1,9,5,6,3,8,2,16, , , , ,8,12, , , , , , , , ,12, , , , , ,12, , , , , , , , , , , ,10, , ,8,12,16, , , ,6, , , ,6, , , ,6, , , ,6, , , ,9, , , , ,6, , , ,6, , , , , ,6, , , ,6, , , ,9, , , ,6, , , , , ,6, , , ,2, , , , , ,3,5,6,8, , , , ,3,5, , , , , , , , ,6,7, ,7, , ,5, ,3,5, ,6,3,5, , , , , , ,20, , ,46, , , , , , , , , ,0, ,0, , , , , , ,1, ,1, , , , ,106,1,.94332407,.95454545
95,2,1,52,5,4,B2,1,36,1,1,1,1,2,3,5, ,2, , , , ,1, , ,1, , , ,1,2, , , , , ,2, , , , , , , ,4, , , , , ,4,4,4, , , , ,9, , , , ,7,11,12,1,3,4,6,5,28, , , , ,10,28, , , , , , , , ,10,28, , , , ,28, , , , , , , , , ,8, , , ,9,14,28,16, , , ,9, , , ,9, , , ,9, , , ,9, , , ,9, , , , ,9, , , ,9, , , , , ,9, , , ,9, , , ,9, , , ,9, , , , , ,9, , , ,2, , , , , ,5,7, , , , , , ,5,7, , , , , , , , ,5, ,8, , , , , ,5, ,5, ,5, , , , , , , , , , ,18, , , , , , , , , , , ,120, , , , , , , , ,1, , , , ,107,1,.84784707,1.05555556
96,2,1,41,4,5,C1,1,33,4,1,1,2,3, , , ,2, , , , , , , ,1,2, , ,2,7, , , , , , , , , , , , , ,2, , , , , ,2,2,4, , , , ,2,7, , , ,5,4,1,3,13,6,9,12,16, , , , ,1,65, , , , , , , , ,65, , , , , ,65, , , , , , , , , , , , , ,7,14,16,16, , , ,8, , , ,1, , , ,9, , , ,8, , , ,10, , , , ,9, , , ,9, , , , , ,7, , , ,7, , , ,9, , , ,7, , , , , ,9, , , ,1,1, , , , ,5, , , , , , , ,5, , , , , , , , , ,6, , , , , , , ,4, , , ,5, , , , , , , , , , ,44, , , , , , , , , , , ,1000, , , , , , , , ,1, , , , ,108,1,1.28649606,1.12
97,2,1,26,3,5,C1,2,33,4,1,1,4, , , , ,4, , , , , , , , , , , , , , , ,1,2, , , , , , , , , ,1,2, , , , ,2,2,3, , ,1,4, , , , , ,9,7,5,12,13,4,8,1,19, , , , ,1,7,8,19, , , , , , ,1, , , , , ,16,8, , , , , , , , , , , , , , ,16,16, , , ,1, , , ,6, , , ,6, , , ,5, , , ,5, , , , ,6, , , ,6, , , , , ,9, , , ,6, , , ,9, , , ,1,5,6, , , ,6, , , ,1,1, , , , ,5, , , , , , , ,5, , , , , , , , , ,7, , , , , , , ,5, , , ,5, , , , , , , , , , ,14, , , , , , , , , , , ,250, , , , , , , , ,1, , , , ,109,1,1.28649606,1.12
98,2,1,41,4,7,D,2,6,3,1,1,1,2,3,5, ,1,2,3, , ,1,2, ,1, , , ,1,2,3, , , , ,2, , , , , , , ,1,3,6, , , ,6,6,4, , , , ,3,6, , , ,3,5,9,10,4,8,6,1,8,7, , , ,7,8, , , , , , , , ,7,8, , , , ,8, , , , , , ,9,10, , , , , , ,14,8,16, , , ,6, , , ,5,6, , ,6, , , ,6, , , ,6, , , , ,6, , , ,6, , , , , ,6, , , ,6, , , ,6, , , ,6, , , , , ,6, , , ,2, , , , , ,1,3,4,5,7, , , ,5,7, , , , ,6, ,7,8,7, ,8, ,5, ,6,5,4, ,4, ,1,5,7, , , ,2, , , , ,49, , ,65, , , , ,100, , , ,1000, ,1000, , ,1, , , ,1, ,1, , ,110,1,.84059992,.86363636
99,2,1,50,5,4,B2,1,5,1,2,1,1,2,3,5, ,2, , , , ,1, , ,1,2,6, ,1, , , , , , ,2, , , , , , , ,2, , , , , ,2,2,5, , , , ,3,10, , , ,12,7,9,10,4,6,5,1,1, , , , ,1,6,7,10, , , , , , ,1,6,7,10, , ,1,11, , , , ,6,6, , ,11, , , , ,10,1,16, , , ,1,5, , ,1, , , ,1,4,5, ,1, , , ,5, , , , ,1,4,5, ,1,4,5, , , ,1,4,5, ,1, , , ,1,4,5, ,1,4,5, , , ,1, , , ,1,1, , , , ,2,3,5,6, , , , ,5, , , , , , ,6,7, ,5,7, , , ,6,7, ,3,7, , ,5, , , , , , , , , , ,2, , , , , , , , , , , ,1000, , , , , , , , ,2, , , , ,111,1,.84784707,1.05555556
100,2,1,49,5,3,B1,1,46,5,1,1,2,3,5, , ,5, , , , , , , ,1, , , ,3, , , , , , ,2, , , , , , , ,2,3, , , , ,2,2,4, , , , ,2, , , , ,1,5,7,9,2,4,13,8,4, , , , ,1,4,12,13, , , , , , ,1,4,12, , , ,4,11, , ,11, , , , , , , ,9, , ,1,4,16, , , ,1, , , ,1, , , ,7, , , ,1, , , ,1, , , , ,1,7, , ,1, , , , , ,1,7, , ,1,7, , ,1,7, , ,1, , , , , ,7, , , ,1,1, , , , ,4,5,7, , , , , ,4,5,7, , , , , , ,8,7, ,10, , , , ,5,7, ,5, ,4,5,7, , , , , , , ,2,25, , ,58, , , , , , , ,1000,900, ,1000, , , , , ,1,1, ,2, , ,112,1,1.10975483,1
101,2,1,43,4,7,D,2,42,4,3,1,2,3, , , ,2,3, , , , , , ,1, , , ,1, , , , , , , , , , , , , , ,1, , , , , ,1,1,4, , , , ,1, , , , ,7,10,11,9,6,8,12,1,18, , , , ,1,7, , , , , , , , ,1,7, , , , ,14,9, , , , , ,9, , , , , , , ,1,1,16, , , ,8, , , ,10, , , ,1,5, , ,10, , , ,9, , , , ,1,5, , ,9, , , , , ,9, , , ,9, , , ,9, , , ,1,5, , , , ,9, , , ,1,1,3,13, , ,1,3,5, , , , , ,5, , , , , ,5, ,7, ,8, , , ,6, ,7, ,4, , , ,1,5, , , , ,2, , , , ,42, , , , , , , ,100, , , ,1000, , , , ,1, , , ,1, , , , ,113,1,.77236257,.85
102,2,1,35,3,5,C1,2,1,1,3,1,4, , , , ,2,4, , , , , , ,1, , , , , , , ,1,2,3, , , , , , , , ,1,6, , , , ,1,1,4, , , , ,2,10, , , ,2,5,8,3,4,6,13,1,8,17, , , ,4,7,12,30,17,8, , , , ,8,17,30, , , ,8, , , , , , , ,11, , , , , ,8,17,8,7,3, , ,6, , , ,6, , , ,5,6, , ,5,6, , ,10, , , , ,6, , , ,5,6, , , , ,6, , , ,6, , , ,9, , , ,5,6, , , , ,6, , , ,2, , , , , ,7, , , , , , , ,7, , , , , , , , , , , ,8, , , , , , , ,6, ,7, , , , , , , , , , , , , ,59, , , , , , , , , , ,360, , , , , , , , ,1, , ,114,1,1.18347052,1.23076923
103,2,1,43,4,5,C1,2,42,4,2,1,1,2,3,5, ,1,2,3, , ,1, , ,1,2,6, ,2,3,7, , , , ,6, , , , , , , ,1,2, , , , ,1,2,4, , , , ,5,18, , , ,12,9,7,10,5,6,4,1,18, , , , ,1,7,8, , , , , , , ,7,8, , , , ,8, , , , , , ,9,9, , , , , , ,7,1,18,98, , ,1, , , ,1, , , ,1,6, , ,1,6, , ,9, , , , ,1,5,6, ,5,6, , , , ,1,5,6, ,1,5,6, ,8, , , ,5,6, , , , ,5,6, , ,2, , , , , ,4,7, , , , , , ,4,7, , , , ,7, , ,9, , ,10, , , , ,5, , ,5, ,4,5,7, , , , , , , ,5,44, , ,52, , , , , , , ,1000,1000, ,380, , , , , ,1,1, ,1, , ,115,1,1.28649606,1.12
104,2,1,28,3,5,C1,2,32,2,2,1,3, , , , ,2, , , , , , , ,2, , , ,2,3, , , , , , , , , , , , , ,1,2, , , , ,1,1,4, , , , ,2, , , , ,3,5,9,10,2,4,13,1,16, , , , ,4,68, , , , , , , , ,4,68, , , , ,68, , , ,9, , , , , , , , , , ,4,16,16, , , ,8, , , ,7, , , ,8, , , ,7, , , ,8, , , , ,7, , , ,7, , , , , ,8, , , ,7,9, , ,9, , , ,7, , , , , ,8, , , ,2, , , , , ,5, , , , , , , ,5, , , , , , , , , ,7, , , , , , , ,4, , , ,5, , , , , , , , , , ,43, , , , , , , , , , , ,1000, , , , , , , , ,2, , , , ,116,1,1.29761447,1.11111111
105,2,1,40,4,7,D,1,11,2,2,1,1,2,3, , ,1,2,3, , ,1, , ,1,2, , ,2, , , , , , , , , , , , , , ,1, , , , , ,1,1,4, , , , ,2, , , , ,5,7,9,11,1,2,3,13,20, , , , ,1,20, , , , , , , , ,1, , , , , ,1,10, , , , , , , , , , , , , ,10,6,16, , , ,1, , , ,1, , , ,1, , , ,1, , , ,1, , , , ,1, , , ,1, , , , , ,1, , , ,1, , , ,1, , , ,1, , , , , ,1, , , ,1,1, , , , ,4,5, , , , , , ,5, , , , , , ,7, ,7,7, , , , , , ,4,4, , , ,7, , , , , , , , , , , , , ,52, , , , , , , , , , ,380, , , , , , , , ,2, , ,117,1,.94332407,.95454545
106,2,1,34,3,7,D,1,11,2,2,1,3,5, , , ,2, , , , , , , ,1, , , ,1, , , , , , ,2, , , , , , , ,2,3, , , , ,2,2,3, , ,1,6, , , , , ,6,10,9,11,13,1,2,8,16, , , , ,1,4, , , , , , , , ,4, , , , , ,4, , , ,10, , , , , , , , , , ,1,4,16, , , ,1, , , ,1, , , ,1, , , ,10, , , ,10, , , , ,1, , , ,10, , , , , ,1, , , ,1, , , ,1, , , ,1, , , , , ,1, , , ,1,1, , , , ,4,5, , , , , , ,4, , , , , , , , ,6,7, , , , , , ,5,5, , , ,5, , , , , , , , , , ,25, , , , , , , , , , , ,900, , , , , , , , ,1, , , , ,118,1,.94332407,.95454545
107,2,1,36,4,3,B1,2,17,3,3,1,3, , , , ,2, , , , , , , ,1, , , ,7, , , , , , , , , , , , , , ,2, , , , , ,2,2,5, , , , ,6, , , , ,7,1,3,6,12,13,4,8,1,8,9, , ,1,3,8,9,12, , , , , ,1,8, , , , ,1,9, , , , , , ,8, , , , , , ,14,1,16, , , ,1, , , ,1, , , ,1,6, , ,1, , , ,1, , , , ,1, , , ,9, , , , , ,9, , , ,1, , , ,1, , , ,1, , , , , ,9, , , ,1,1, , , , ,4,7, , , , , , ,4, , , , , , , , ,7, , ,10, , , , ,3, , ,5, ,4,7, , , , , , , , ,2, , , ,54, , , , , , , ,1000, , ,1000, , , , , ,5, , ,1, , ,119,1,.89314552,.93333333
108,2,1,28,3,5,C1,2,36,1,2,1,1,2,3,5, ,2, , , , ,1, , ,1,2, , ,2, , , , , , ,1,2, , , , , , ,2,8, , , , ,7,7,5, , , , ,1,5,9, , ,7,5,9,12,2,13,1,8,27, , , , ,4,8,27, , , , , , , ,4,27, , , , ,27, , , ,11, , , , , , , , , , ,8,27,16, , , ,6, , , ,6, , , ,6, , , ,5, , , ,6, , , , ,6, , , ,6, , , , , ,6, , , ,6, , , ,6, , , ,5,6, , , , ,6, , , ,2, , , , , ,3,5,7, , , , , ,5, , , , , , , ,7, ,8, ,5, , , ,7, ,4, ,9, ,3,5,7, , , , , ,18, , ,78, , ,70, , , , , , ,120, ,1000, ,90, , , , ,1, ,1, ,2, , ,120,1,1.18347052,1.23076923
109,2,1,28,3,6,C2,2,8,4,5,1,3, , , , ,2, , , , , , , ,1, , , ,2, , , , , , , , , , , , , , ,1,3,6, , , ,1,1,4, , , , ,5,9, , , ,10,9,5,3,2,1,6,8,4, , , , ,1,4, , , , , , , , ,4, , , , , ,4, , , ,11, , , , , , , , , , ,1,4,1,6, , ,2, , , ,8, , , ,9, , , ,10, , , ,10, , , , ,10, , , ,9, , , , , ,1,2, , ,10, , , ,1,2, , ,1,2, , , , ,9, , , ,1,1, , , , ,3,5, , , , , , ,5, , , , , , , ,8, ,7, , , , , ,6, ,5, , , ,3,5, , , , , , ,79, , ,25, , , , , , , , , ,50, ,900, , , , , , ,1, ,1, , , , ,121,1,1.28649606,1.12
110,2,1,41,4,7,D,1,11,2,2,1,2,3,5, , ,2, , , , , , , ,1,2, , ,1,2, , , , , ,1,2, , , , , , ,3, , , , , ,3,3,5, , , , ,2,5, , , ,1,3,9,7,8,12,6,2,4,1, , , ,1,4, , , , , , , , ,4, , , , , ,4, , , ,9, , , , , , , , , , ,1,4,16, , , ,9, , , ,1, , , ,1, , , ,7, , , ,9, , , , ,1, , , ,1, , , , , ,1, , , ,1, , , ,1, , , ,1, , , , , ,1, , , ,1,1,3, , , ,1,4,5,7, , , , ,4,5,7, , , ,5, , ,5,6, ,10, ,5, , ,4,4, ,5, ,5, , , , , , , , , , ,25, , , , , , , , , , , ,900, , , , , , , , ,1, , , , ,122,1,.94332407,.95454545
111,2,1,48,5,5,C1,1,5,1,2,1,2,3, , , ,2, , , , , , , ,1,2, , ,1,2, , , , , , , , , , , , , ,6, , , , , ,6,6,4, , , , ,2,11, , , ,7,10,2,3,6,5,1,9,9, , , , ,1,9,10, , , , , , , ,9, , , , , ,9, , , , , , , , ,11, , , , , ,1,9,16, , , ,1, , , ,2, , , ,1, , , ,8, , , ,7, , , , ,2, , , ,1, , , , , ,8, , , ,8, , , ,8, , , ,1,2, , , , ,2, , , ,1,1, , , , ,5, , , , , , , ,5, , , , , , , , , ,8, , , , , , , ,5, , , ,5, , , , , , , , , , ,45, , , , , , , , , , , ,1000, , , , , , , , ,1, , , , ,123,1,1.18347052,1.23076923
112,2,1,25,3,6,C2,1,42,4,4,1,2,5, , , ,2, , , , , , , ,1,2, , , , , , , , , ,2, , , , , , , ,1,5, , , , ,1,5,4, , , , ,9, , , , ,7,11,4,10,1,6,2,13,16, , , , ,7,12, , , , , , , , ,12, , , , , ,12, , , , , , , , , , , ,9, , ,7,12,16, , , ,1,2, , ,5, , , ,9, , , ,9, , , ,10, , , , ,5, , , ,10, , , , , ,9, , , ,5, , , ,5, , , ,5, , , , , ,5, , , ,1,1,15, , , ,5, , , , , , , ,5, , , , , , , , , ,6, , , , , , , ,5, , , ,5, , , , , , , , , , ,98, , , , , , , , , , , ,1000, , , , , , , , ,2, , , , ,124,1,1.28649606,1.12
113,2,1,19,2,7,D,2,43,4,3,1,3, , , , ,3, , , , , , , , , , , ,1,2, , , , , , , , , , , , , ,2,3, , , , ,3,2,4, , , , ,2,6,10, , ,9,5,10,3,7,13,2,1,30,4,7, , ,4,7,8,30, , , , , , ,7,30, , , , ,30, , , , , , ,6, , , , , , ,10,7,30,16, , , ,5,7, , ,5,6,7, ,5, , , ,5,7, , ,9, , , , ,5,7, , ,9, , , , , ,7, , , ,7, , , ,9, , , ,5,7, , , , ,9, , , ,2, , , , , ,7, , , , , , , ,7, , , , , , , , , , , ,7, , , , , , , ,6, ,7, , , , , , , , , , , , , ,59, , , , , , , , , , ,1000, , , , , , , , ,1, , ,125,1,.77236257,.85
114,2,1,34,3,5,C1,2,1,1,2,1,1,2,3,5, ,1,2,5, , ,1, , ,1,2, , ,7, , , , , , ,2, , , , , , , ,2, , , , , ,2,2,5, , , , ,9,20, , , ,9,6,11,2,1,10,13,4,4,18, , , ,4,8,10,12, , , , , , ,4,10, , , , ,4, , , ,11, , , , , ,9, , , , ,10,4,16, , , ,6, , , ,10, , , ,9, , , ,6, , , ,7, , , , ,7, , , ,9, , , , , ,7, , , ,7, , , ,7, , , ,8, , , , , ,6, , , ,2, , , , , ,1,2,3,4,5,6,7,8,1,3,5,7, , ,7,9,9,7,8,9,10,7,5,7,6,6,5,6,5,7,1,5,7, , , ,2, , , , ,25, , ,133, , , , ,100, , , ,900, ,250, , ,1, , , ,1, ,1, , ,126,1,1.18347052,1.23076923
115,2,1,19,2,4,B2,2,25,3,2,1,1,2,3,5, ,2,3,5, , ,1, , ,1,2, , ,2,3, , , , , ,1,2, , , , , , ,1,2,5, , , ,1,2,5, , , , ,1,5,16, , ,5,10,9,12,1,6,8,4,1, , , , ,1,2,3, , , , , , , ,1,3, , , , ,1,10, ,9, , , , , , , , , , , ,3,1,16, , , ,1,3, , ,1, , , ,1, , , ,1,3, , ,1, , , , ,1,3, , ,1, , , , , ,1,3, , ,1, , , ,1,3, , ,1,3, , , , ,1,3, , ,1,1, , , , ,1,2,3,5, , , , ,2,5, , , , ,9,7,5, ,5, , , ,5,7,3, ,3, , , ,1,2,3,5, , ,8,7,2, , ,2, , , , , , , ,100,120,120, ,500, , , , ,1,2,1, ,2, , , , ,127,1,.89314552,.93333333
116,2,1,38,4,7,D,2,1,5,2,1,4, , , , ,4, , , , , , , , , , , , , , , ,1,3, , , , , , , , , ,1,4,5,6, , ,5,5,5, , , , ,3,5, , , ,7,8,13,9,1,3,5,4,4,49, , , ,7,8,49,4, , , , , , ,49, , , , , ,49, , , , , , , , , , , , , ,11,4,49,16, , , ,5,7, , ,7, , , ,5,6, , ,7, , , ,10, , , , ,7, , , ,5, , , , , ,7, , , ,7, , , ,9, , , ,7, , , , , ,5,7, , ,2, , , , , ,7, , , , , , , ,7, , , , , , , , , , , ,6, , , , , , , ,3, ,7, , , , , , , , , , , , , ,101, , , , , , , , , , ,80, , , , , , , , ,2, , ,128,1,.77289029,.93333333
117,2,1,50,5,7,D,2,35,3,3,1,1,2,3,5, ,2,3,5, , ,1,2, ,1, , , ,1,3, , , , , ,2, , , , , , , ,1,4, , , , ,1,1,4, , , , ,1,3,11, , ,7,9,11,13,6,4,5,1,16, , , , ,1,7,8, , , , , , , ,7, , , , , ,7, , , , , , ,9, , , , , , , ,8,7,16, , , ,5,6, , ,5, , , ,5,6, , ,5,6, , ,5,6, , , ,5,6, , ,5,6, , , , ,5,6, , ,5,6, , ,5,6, , ,5,6, , , , ,5,6,8, ,2, , , , , ,3,5,6,7, , , , ,5,7, , , , , , ,7, ,7,9,7, , , ,9, ,7,9,6, ,3,5,7, , , , , ,82, , ,98, , ,24, , , , , , ,120, ,1000, ,300, , , , ,1, ,1, ,2, , ,129,1,.84059992,.86363636
118,2,1,26,3,7,D,2,35,3,3,1,1,2,3,5, ,1,2,5, , ,1, , ,1,2, , ,2, , , , , , ,2, , , , , , , ,1, , , , , ,3,4,4, , , , ,5,7,11, , ,12,9,5,3,1,2,4,13,16, , , , ,1,7,8,12, , , , , , ,1,7, , , , ,1,11, , , , , ,9, , , , , , , ,7,1,16, , , ,5, , , ,1,6, , ,1, , , ,1,5, , ,5, , , , ,1,5,6, ,5,6, , , , ,1,5, , ,1,5,6, ,9, , , ,1, , , , , ,1, , , ,1,1, , , , ,2,4,5,7,8, , , ,5,7, , , , , ,5, ,5,9, ,5,4, ,5, ,5,4, ,4,6,5, , , , , , , , , , ,48, , , , , , , , , , , ,120, , , , , , , , ,1, , , , ,130,1,.84059992,.86363636
119,2,1,36,4,6,C2,2,42,4,3,1,3, , , , ,2, , , , , , , ,1, , , ,2,3, , , , , , , , , , , , , ,1,2, , , , ,2,2,4, , , , ,5, , , , ,7,6,10,11,4,1,13,2,1, , , , ,1,4,7,12, , , , , , ,1, , , , , ,1,9, , , , , , , , , , , , , ,4,1,7,4, , ,1, , , ,1, , , ,5, , , ,1,5, , ,1, , , , ,1, , , ,5, , , , , ,1,5, , ,1, , , ,1, , , ,1, , , , , ,1,7, , ,1,1,16,15, , ,3,4,5, , , , , ,5, , , , , , , ,8,7,8, , , , , ,8,5,4, , , ,5, , , , , , , , , , ,2, , , , , , , , , , , ,1000, , , , , , , , ,1, , , , ,131,1,1.28649606,1.12
120,2,1,27,3,5,C1,2,11,2,1,1,2,3,5, , ,1,2, , , ,1, , ,1,2, , ,2, , , , , , ,2, , , , , , , ,1,5, , , , ,1,1,4, , , , ,2,5, , , ,3,11,5,7,4,8,13,6,16, , , , ,1,10,12, , , , , , , ,1, , , , , ,1,8, , , , , , , , , , , , , ,10,1,16, , , ,10, , , ,7, , , ,8, , , ,9, , , ,9, , , , ,1, , , ,9, , , , , ,8, , , ,8, , , ,9, , , ,1, , , , , ,10, , , ,1,1, , , , ,2,3,4,7, , , , ,4, , , , , , , ,8,10, , ,7, , ,6,7,5, , ,6, ,2,4, , , , , ,2, , ,2, , , , , , , , , ,1000, ,1000, , , , , , ,1, ,1, , , , , ,132,1,1.29761447,1.11111111
121,2,1,21,2,7,D,2,33,4,2,1,2,3, , , ,2, , , , , , , ,1,2, , ,3,7, , , , , , , , , , , , , ,1,3, , , , ,1,1,5, , , , ,8,10,18, , ,3,7,6,8,4,1,2,12,1, , , , ,4,8,1, , , , , , , ,1, , , , , ,1,11, , , , , , , , , , , , , ,8,1,16, , , ,1, , , ,1,6, , ,1, , , ,1, , , ,10, , , , ,1,6, , ,9, , , , , ,1, , , ,1, , , ,1,6, , ,1,6, , , , ,1, , , ,1,1, , , , ,5, , , , , , , ,5, , , , , , , , , ,8, , , , , , , ,3, , , ,5, , , , , , , , , , ,2, , , , , , , , , , , ,1000, , , , , , , , ,1, , , , ,133,1,.77236257,.85
